"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015- 08- 26","42,200","41,700","43,000","40,150","973.23K","1.93%"
"2015- 08- 25","41,400","39,400","41,700","38,400","1.10M","6.70%"
"2015- 08- 24","38,800","40,300","40,850","37,750","627.63K","-3.12%"
"2015- 08- 21","40,050","38,900","40,150","38,350","804.38K","-0.99%"
"2015- 08- 20","40,450","41,500","41,850","40,150","498.74K","-2.53%"
"2015- 08- 19","41,500","41,350","41,600","39,950","864.93K","-0.36%"
"2015- 08- 18","41,650","43,050","43,250","40,800","859.87K","-3.03%"
"2015- 08- 17","42,950","42,500","43,350","41,800","611.60K","1.06%"
"2015- 08- 13","42,500","42,450","42,800","41,150","1.02M","-0.23%"
"2015- 08- 12","42,600","41,600","42,600","40,150","2.12M","2.90%"
"2015- 08- 11","41,400","39,100","44,550","38,650","6.08M","11.14%"
"2015- 08- 10","37,250","35,400","37,250","35,100","1.40M","5.97%"
"2015- 08- 07","35,150","34,700","35,600","34,500","360.57K","0.43%"
"2015- 08- 06","35,000","35,250","35,400","34,500","382.08K","0.72%"
"2015- 08- 05","34,750","33,650","35,250","33,650","654.48K","3.42%"
"2015- 08- 04","33,600","33,300","33,750","32,150","255.19K","1.51%"
"2015- 08- 03","33,100","31,700","33,400","31,050","329.24K","4.58%"
"2015- 07- 31","31,650","31,400","32,100","31,000","358.61K","-0.47%"
"2015- 07- 30","31,800","33,650","33,950","31,600","431.33K","-5.22%"
"2015- 07- 29","33,550","33,800","34,150","33,100","342.56K","0.00%"
"2015- 07- 28","33,550","32,800","33,800","32,750","361.91K","0.15%"
"2015- 07- 27","33,500","34,900","35,300","33,400","457.90K","-5.37%"
"2015- 07- 24","35,400","34,600","35,450","33,800","622.84K","2.46%"
"2015- 07- 23","34,550","36,000","36,250","34,350","919.41K","-2.12%"
"2015- 07- 22","35,300","33,100","35,400","33,100","1.34M","6.65%"
"2015- 07- 21","33,100","34,000","34,750","33,000","465.08K","-2.50%"
"2015- 07- 20","33,950","34,200","34,500","33,650","472.54K","0.59%"
"2015- 07- 17","33,750","33,500","34,400","33,400","891.70K","2.27%"
"2015- 07- 16","33,000","32,300","33,300","32,300","582.09K","2.64%"
"2015- 07- 15","32,150","32,550","32,750","32,050","203.71K","-0.77%"
"2015- 07- 14","32,400","31,850","32,700","31,650","335.72K","1.89%"
"2015- 07- 13","31,800","33,000","33,250","31,550","592.27K","1.92%"
"2015- 07- 10","31,200","32,500","32,500","31,150","300.37K","-3.41%"
"2015- 07- 09","32,300","31,650","32,400","31,100","188.08K","0.16%"
"2015- 07- 08","32,250","32,000","32,600","31,700","234.92K","2.38%"
"2015- 07- 07","31,500","32,100","32,600","31,250","309.04K","-1.56%"
"2015- 07- 06","32,000","33,150","33,700","31,950","304.38K","-3.76%"
"2015- 07- 03","33,250","32,650","33,850","32,500","598.22K","2.47%"
"2015- 07- 02","32,450","32,750","32,850","32,100","216.30K","0.15%"
"2015- 07- 01","32,400","32,300","32,850","32,100","212.87K","0.62%"
"2015- 06- 30","32,200","31,400","32,400","30,900","219.28K","1.42%"
"2015- 06- 29","31,750","32,400","33,100","31,650","241.10K","-3.35%"
"2015- 06- 26","32,850","33,200","33,550","32,600","226.67K","-0.90%"
"2015- 06- 25","33,150","32,450","33,400","32,250","225.74K","2.16%"
"2015- 06- 24","32,450","32,600","32,700","32,150","124.96K","0.15%"
"2015- 06- 23","32,400","32,050","33,200","31,900","286.73K","1.25%"
"2015- 06- 22","32,000","32,400","32,700","31,650","167.91K","-0.93%"
"2015- 06- 19","32,300","32,900","32,900","32,200","205.15K","-1.97%"
"2015- 06- 18","32,950","32,850","33,100","32,050","226.93K","0.30%"
"2015- 06- 17","32,850","31,600","33,200","31,150","384.12K","4.12%"
"2015- 06- 16","31,550","30,700","31,700","30,000","239.56K","2.10%"
"2015- 06- 15","30,900","31,800","31,900","30,600","368.84K","-4.04%"
"2015- 06- 12","32,200","32,000","32,650","31,700","215.62K","0.47%"
"2015- 06- 11","32,050","33,450","33,650","31,800","345.94K","-4.04%"
"2015- 06- 10","33,400","33,800","34,050","33,050","303.74K","-0.45%"
"2015- 06- 09","33,550","33,750","34,000","33,000","233.53K","0.30%"
"2015- 06- 08","33,450","33,900","34,150","33,100","254.58K","-1.04%"
"2015- 06- 05","33,800","32,900","34,000","32,850","385.24K","2.74%"
"2015- 06- 04","32,900","33,750","34,050","32,850","250.93K","-2.37%"
"2015- 06- 03","33,700","33,450","34,200","32,400","439.00K","0.75%"
"2015- 06- 02","33,450","34,050","34,350","33,250","401.18K","-1.91%"
"2015- 06- 01","34,100","33,550","34,150","32,350","408.65K","1.19%"
