"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 05- 13","53,900","52,500","54,200","52,400","214.77K","3.65%"
"2022- 05- 12","52,000","54,500","54,700","52,000","506.79K","-6.81%"
"2022- 05- 11","55,800","55,500","57,200","55,100","171.42K","0.90%"
"2022- 05- 10","55,300","54,300","56,000","52,600","328.05K","0.36%"
"2022- 05- 09","55,100","57,200","57,600","54,500","305.93K","-4.17%"
"2022- 05- 08","57,500","57,500","57,500","57,500","","0.00%"
"2022- 05- 06","57,500","57,000","59,000","56,900","221.56K","-1.03%"
"2022- 05- 04","58,100","58,000","58,900","57,500","146.89K","1.04%"
"2022- 05- 03","57,500","56,800","59,100","56,400","231.78K","1.41%"
"2022- 05- 02","56,700","56,500","57,000","55,400","177.06K","-0.53%"
"2022- 05- 01","57,000","57,000","57,000","57,000","","0.00%"
"2022- 04- 29","57,000","56,900","57,800","56,100","141.69K","0.88%"
"2022- 04- 28","56,500","58,500","58,500","56,300","209.91K","-2.59%"
"2022- 04- 27","58,000","55,600","58,400","55,300","248.10K","1.40%"
"2022- 04- 26","57,200","56,300","58,100","56,300","209.68K","2.33%"
"2022- 04- 25","55,900","55,700","57,800","55,100","235.47K","-1.41%"
"2022- 04- 24","56,700","56,700","56,700","56,700","","0.00%"
"2022- 04- 22","56,700","57,600","58,200","56,000","402.82K","-2.91%"
"2022- 04- 21","58,400","59,300","60,100","57,900","0.07K","-1.35%"
"2022- 04- 20","59,200","60,400","60,400","58,300","0.17K","-1.50%"
"2022- 04- 19","60,100","60,300","60,600","59,300","255.45K","0.17%"
"2022- 04- 18","60,000","63,500","63,700","59,900","0.03K","-6.25%"
"2022- 04- 17","64,000","64,000","64,000","64,000","","0.00%"
"2022- 04- 15","64,000","61,400","64,600","60,800","412.86K","4.23%"
"2022- 04- 14","61,400","63,200","63,500","61,400","277.29K","-2.38%"
"2022- 04- 13","62,900","63,300","63,300","61,700","0.05K","0.16%"
"2022- 04- 12","62,800","61,400","63,200","61,200","0.04K","1.45%"
"2022- 04- 11","61,900","63,000","63,900","61,200","245.94K","-1.43%"
"2022- 04- 10","62,800","62,800","62,800","62,800","","0.00%"
"2022- 04- 08","62,800","62,400","63,700","61,800","379.87K","0.80%"
"2022- 04- 07","62,300","63,900","64,300","61,700","517.84K","-3.26%"
"2022- 04- 06","64,400","64,800","65,800","64,300","487.74K","-2.13%"
"2022- 04- 05","65,800","70,100","70,100","65,200","0.21K","-6.40%"
"2022- 04- 04","70,300","71,600","72,600","69,100","1.54K","-1.13%"
